Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
         Department of Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Department of Veterans Affairs,34.0,36.0,37.0,39.0,42.0,47.0,50.0,61.0,73.0,67.0,38.0,28.0,34.0,37.0,44.0,52.0,65.0,49.0,67.0,69.0,82.0,95.0,135.0,198.0,154.0,129.0,137.0,137.0,136.0,139.0,155.0,176.0,171.0,197.0,193.0,205.0,243.0,235.0,258.0,245.0,264.0,283.0,300.0,408.0,468.0,487.0,510.0,511.0,627.0,670.0,826.0,824.0,919.0,921.0,948.0,957.0
     Other Third Party Payers and Programs,301.0,359.0,382.0,420.0,461.0,501.0,572.0,632.0,706.0,776.0,836.0,929.0,1101.0,1221.0,1403.0,1629.0,1923.0,2263.0,2602.0,3111.0,3804.0,4308.0,4837.0,5350.0,5892.0,6455.0,6794.0,7186.0,8014.0,8802.0,9697.0,10528.0,11110.0,12128.0,13101.0,14115.0,15455.0,16664.0,19565.0,20666.0,22352.0,24027.0,25479.0,26960.0,28483.0,29978.0,31634.0,34029.0,36476.0,38023.0,38868.0,39202.0,40979.0,41532.0,43789.0,45114.0
         Worksite Health Care,62.0,66.0,71.0,78.0,87.0,97.0,110.0,128.0,147.0,171.0,196.0,217.0,246.0,281.0,327.0,373.0,448.0,530.0,617.0,719.0,826.0,953.0,1041.0,1156.0,1306.0,1393.0,1522.0,1685.0,1867.0,2035.0,2228.0,2343.0,2484.0,2610.0,2731.0,2863.0,2975.0,3112.0,3220.0,3323.0,3518.0,3655.0,3775.0,3925.0,4102.0,4282.0,4389.0,4544.0,4547.0,4573.0,4701.0,4910.0,5175.0,5366.0,5687.0,6066.0
         Other Private Revenues,14.0,15.0,16.0,18.0,21.0,25.0,23.0,29.0,37.0,45.0,53.0,60.0,69.0,80.0,92.0,45.0,60.0,79.0,90.0,140.0,189.0,340.0,615.0,727.0,863.0,1019.0,1043.0,1021.0,1211.0,1423.0,1285.0,1213.0,1166.0,1394.0,1572.0,1718.0,2337.0,2841.0,4282.0,4387.0,4636.0,4662.0,4841.0,5005.0,5300.0,5988.0,7462.0,9047.0,10081.0,10346.0,10308.0,9953.0,11814.0,12031.0,12919.0,13318.0
         Indian Health Services ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,21.0,33.0,36.0,42.0,47.0,42.0,47.0,60.0,63.0,61.0,66.0,62.0,68.0,108.0,134.0,164.0,176.0,184.0,202.0,196.0,204.0,199.0,202.0,219.0,257.0,255.0,272.0,285.0,284.0,293.0,299.0,329.0,363.0,398.0,401.0,407.0,395.0,403.0,404.0
         Workers' Compensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         General Assistance,3.0,3.0,3.0,3.0,3.0,4.0,5.0,7.0,9.0,10.0,12.0,14.0,17.0,20.0,24.0,29.0,32.0,33.0,37.0,41.0,67.0,78.0,70.0,69.0,84.0,87.0,80.0,77.0,76.0,84.0,104.0,101.0,130.0,122.0,217.0,376.0,375.0,281.0,125.0,94.0,69.0,103.0,100.0,118.0,124.0,234.0,210.0,248.0,444.0,627.0,510.0,642.0,555.0,587.0,833.0,741.0
         Maternal/Child Health,64.0,91.0,94.0,106.0,118.0,125.0,137.0,138.0,151.0,174.0,164.0,174.0,178.0,177.0,207.0,228.0,255.0,278.0,303.0,349.0,396.0,399.0,431.0,539.0,547.0,632.0,678.0,706.0,723.0,764.0,779.0,915.0,1003.0,1101.0,1203.0,1256.0,1322.0,1400.0,1470.0,1523.0,1613.0,1663.0,1736.0,1786.0,1776.0,1764.0,1703.0,1915.0,2106.0,2033.0,2016.0,1867.0,1706.0,1789.0,1882.0,1876.0
                          Federal  ,13.0,21.0,22.0,23.0,29.0,36.0,45.0,47.0,49.0,59.0,41.0,53.0,67.0,57.0,73.0,86.0,96.0,104.0,115.0,121.0,124.0,119.0,121.0,157.0,131.0,152.0,142.0,148.0,152.0,163.0,159.0,177.0,190.0,200.0,212.0,210.0,208.0,205.0,212.0,217.0,219.0,220.0,228.0,228.0,227.0,223.0,213.0,210.0,205.0,209.0,210.0,204.0,193.0,186.0,198.0,198.0
                          State and Local,51.0,71.0,72.0,83.0,89.0,89.0,92.0,91.0,101.0,115.0,122.0,121.0,111.0,120.0,133.0,143.0,159.0,174.0,189.0,228.0,272.0,281.0,310.0,381.0,416.0,481.0,535.0,558.0,570.0,601.0,621.0,738.0,813.0,901.0,992.0,1046.0,1114.0,1194.0,1258.0,1307.0,1393.0,1442.0,1508.0,1558.0,1549.0,1541.0,1491.0,1705.0,1901.0,1823.0,1806.0,1663.0,1513.0,1602.0,1683.0,1678.0
         Vocational Rehabilitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other Federal Programs*,16.0,21.0,25.0,37.0,38.0,39.0,78.0,86.0,85.0,71.0,73.0,103.0,193.0,211.0,245.0,227.0,297.0,286.0,281.0,362.0,478.0,388.0,307.0,300.0,329.0,341.0,344.0,382.0,435.0,480.0,607.0,810.0,920.0,1081.0,1251.0,1311.0,1521.0,1781.0,1972.0,2236.0,2490.0,2668.0,2789.0,2931.0,3045.0,3046.0,3044.0,3136.0,3261.0,3468.0,3495.0,3599.0,3594.0,3470.0,3662.0,3823.0
         SAMHSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,127.0,147.0,185.0,189.0,248.0,253.0,211.0,208.0,222.0,197.0,211.0,241.0,328.0,270.0,551.0,726.0,762.0,756.0,832.0,948.0,885.0,696.0,1188.0,1378.0,1476.0,1620.0,1787.0,1874.0,1890.0,1995.0,1944.0,1960.0,2007.0,2088.0,2212.0,2320.0,2098.0,2019.0,2155.0,2137.0
         Other State and Local Programs**,21.0,24.0,26.0,34.0,42.0,44.0,32.0,29.0,36.0,42.0,47.0,54.0,78.0,106.0,132.0,188.0,257.0,380.0,495.0,675.0,894.0,1142.0,1367.0,1509.0,1635.0,1804.0,1869.0,1968.0,2214.0,2493.0,2741.0,2923.0,3064.0,3334.0,3407.0,3657.0,3954.0,4313.0,4913.0,5192.0,5848.0,6712.0,7307.0,8018.0,8769.0,9023.0,9020.0,8985.0,9612.0,10324.0,10936.0,11229.0,11312.0,11442.0,11711.0,12137.0
         School Health,122.0,140.0,147.0,143.0,151.0,168.0,187.0,215.0,242.0,263.0,290.0,308.0,321.0,346.0,377.0,400.0,433.0,509.0,559.0,600.0,663.0,708.0,753.0,795.0,847.0,919.0,986.0,1040.0,1099.0,1185.0,1293.0,1363.0,1416.0,1553.0,1701.0,1785.0,1890.0,2037.0,2197.0,2330.0,2483.0,2689.0,2888.0,3032.0,3193.0,3363.0,3569.0,3895.0,4089.0,4201.0,4293.0,4282.0,4318.0,4435.0,4536.0,4612.0
"Total CMS Programs (Medicaid, CHIP and Medicare)",0.0,0.0,0.0,0.0,0.0,0.0,22.0,46.0,86.0,140.0,153.0,127.0,205.0,341.0,483.0,759.0,1057.0,1599.0,2173.0,2819.0,3667.0,3962.0,4460.0,5072.0,5406.0,6063.0,6788.0,7449.0,8303.0,9864.0,11329.0,13879.0,15453.0,18006.0,20548.0,23352.0,25846.0,28046.0,29660.0,31855.0,34493.0,38315.0,42854.0,46216.0,50295.0,53777.0,57603.0,61899.0,64887.0,71232.0,75134.0,76281.0,81615.0,85678.0,90189.0,98710.0
Total Administration and Total Net Cost of Health Insurance Expenditures,1072.0,1167.0,1293.0,1333.0,1518.0,1845.0,2067.0,2141.0,2592.0,2413.0,2632.0,3226.0,4332.0,4817.0,4515.0,4922.0,6767.0,9457.0,11222.0,12064.0,12053.0,14098.0,16343.0,18526.0,23633.0,25248.0,22485.0,21018.0,26748.0,34067.0,38746.0,39656.0,42917.0,52261.0,55902.0,57592.0,59677.0,60749.0,63279.0,70529.0,81298.0,90654.0,112597.0,132507.0,142013.0,151119.0,165884.0,172572.0,168907.0,167428.0,183553.0,191702.0,199011.0,210971.0,236553.0,252669.0
     Out of pocket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
     Health Insurance,863.0,943.0,1033.0,1064.0,1165.0,1368.0,1627.0,1721.0,2101.0,1882.0,2113.0,2741.0,3822.0,4200.0,3847.0,4233.0,6013.0,8525.0,10056.0,10501.0,10233.0,12158.0,14274.0,16642.0,22119.0,23548.0,20742.0,18674.0,24139.0,31767.0,36177.0,37279.0,39787.0,47832.0,50546.0,52041.0,53959.0,55544.0,58314.0,65877.0,75252.0,82715.0,102042.0,119028.0,127555.0,135390.0,149734.0,157589.0,157566.0,159457.0,175808.0,182066.0,186491.0,195262.0,218757.0,233283.0
          Private Health Insurance,852.0,931.0,1020.0,1051.0,1152.0,1355.0,1442.0,1389.0,1637.0,1355.0,1434.0,2012.0,2964.0,3189.0,2625.0,2837.0,4304.0,6757.0,7917.0,8199.0,7684.0,9240.0,11283.0,13287.0,18326.0,19209.0,16182.0,13779.0,18515.0,25431.0,29097.0,29463.0,31162.0,37934.0,38474.0,38616.0,40844.0,39572.0,40361.0,45934.0,52406.0,57178.0,73350.0,88553.0,93766.0,96860.0,101329.0,104833.0,102036.0,98127.0,108295.0,111006.0,112643.0,115608.0,124836.0,127370.0
          Medicare,0.0,0.0,0.0,0.0,0.0,0.0,120.0,193.0,287.0,310.0,397.0,407.0,474.0,548.0,680.0,726.0,879.0,754.0,1002.0,1022.0,1127.0,1313.0,1290.0,1443.0,1608.0,2034.0,2061.0,2129.0,2561.0,2860.0,2916.0,3343.0,3628.0,3730.0,4240.0,4535.0,5177.0,6172.0,6861.0,7138.0,8496.0,8575.0,8830.0,8667.0,11026.0,13484.0,21393.0,24041.0,24957.0,28543.0,30717.0,32753.0,34409.0,35263.0,37869.0,41219.0
          Medicaid (Title XIX),0.0,0.0,0.0,0.0,0.0,0.0,52.0,122.0,156.0,191.0,251.0,284.0,341.0,411.0,483.0,607.0,759.0,944.0,1059.0,1198.0,1335.0,1512.0,1593.0,1780.0,2052.0,2176.0,2364.0,2620.0,2907.0,3301.0,3968.0,4290.0,4769.0,5920.0,7558.0,8613.0,7660.0,9498.0,10695.0,12174.0,13402.0,15657.0,17954.0,19455.0,19935.0,21697.0,23269.0,24641.0,26371.0,28232.0,31474.0,32854.0,34281.0,38980.0,50451.0,58676.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,26.0,64.0,81.0,102.0,135.0,166.0,187.0,236.0,283.0,360.0,492.0,579.0,699.0,799.0,829.0,972.0,1032.0,1060.0,1205.0,1324.0,1410.0,1493.0,1656.0,1909.0,2278.0,2438.0,2580.0,3281.0,3710.0,4203.0,4223.0,5303.0,5926.0,6848.0,7499.0,8698.0,10044.0,11024.0,11135.0,12009.0,12368.0,13636.0,14786.0,16727.0,19099.0,18939.0,19392.0,22263.0,31083.0,37880.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,25.0,59.0,75.0,88.0,116.0,118.0,154.0,175.0,200.0,247.0,267.0,365.0,361.0,399.0,506.0,540.0,560.0,720.0,847.0,852.0,954.0,1127.0,1251.0,1392.0,1690.0,1852.0,2189.0,2639.0,3848.0,4409.0,3437.0,4195.0,4769.0,5327.0,5902.0,6959.0,7910.0,8432.0,8800.0,9688.0,10901.0,11005.0,11585.0,11505.0,12375.0,13915.0,14889.0,16717.0,19368.0,20796.0
          CHIP (Title XIX and Title XXI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,233.0,482.0,678.0,924.0,991.0,1017.0,1117.0,1177.0,1350.0,1514.0,1573.0,1834.0,1952.0,1927.0,2133.0,2345.0,2592.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,163.0,335.0,472.0,641.0,689.0,707.0,776.0,812.0,936.0,1055.0,1099.0,1276.0,1355.0,1335.0,1470.0,1630.0,1935.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,71.0,147.0,205.0,283.0,302.0,310.0,341.0,365.0,415.0,459.0,473.0,558.0,596.0,592.0,663.0,715.0,658.0
         Department of Defense,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,9.0,11.0,13.0,17.0,21.0,25.0,26.0,26.0,29.0,32.0,32.0,35.0,37.0,42.0,53.0,73.0,68.0,68.0,82.0,99.0,111.0,129.0,152.0,131.0,168.0,172.0,194.0,203.0,206.0,234.0,277.0,325.0,385.0,539.0,869.0,1203.0,1609.0,2017.0,2381.0,2595.0,2622.0,2900.0,3451.0,3469.0,3200.0,3225.0,3219.0,3191.0
         Department of Veterans Affairs,10.0,10.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,16.0,19.0,21.0,23.0,26.0,32.0,37.0,41.0,38.0,46.0,47.0,50.0,52.0,55.0,60.0,64.0,61.0,53.0,47.0,45.0,46.0,44.0,53.0,60.0,76.0,80.0,75.0,72.0,68.0,69.0,73.0,80.0,89.0,114.0,158.0,203.0,215.0,184.0,128.0,66.0,82.0,36.0,32.0,31.0,53.0,36.0,235.0
     Other Third Party Payers and Programs,209.0,224.0,261.0,269.0,353.0,477.0,440.0,420.0,491.0,531.0,519.0,485.0,511.0,617.0,668.0,689.0,754.0,932.0,1166.0,1563.0,1820.0,1940.0,2069.0,1883.0,1514.0,1700.0,1743.0,2344.0,2609.0,2300.0,2570.0,2376.0,3130.0,4430.0,5357.0,5552.0,5718.0,5205.0,4965.0,4651.0,6046.0,7939.0,10556.0,13479.0,14458.0,15729.0,16150.0,14983.0,11341.0,7971.0,7745.0,9637.0,12519.0,15709.0,17796.0,19386.0
         Worksite Health Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other Private Revenues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Indian Health Services ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,9.0,11.0,12.0,13.0,15.0,15.0,17.0,20.0,22.0,21.0,21.0,24.0,28.0,34.0,40.0,45.0,48.0,54.0,59.0,59.0,62.0,67.0,74.0,84.0,91.0,92.0,97.0,98.0,98.0,101.0,101.0,100.0,114.0,139.0,143.0,155.0,154.0,188.0,185.0
         Workers' Compensation,180.0,184.0,209.0,216.0,241.0,269.0,310.0,350.0,414.0,450.0,480.0,439.0,462.0,569.0,618.0,631.0,652.0,820.0,1045.0,1433.0,1682.0,1789.0,1899.0,1715.0,1344.0,1516.0,1555.0,2152.0,2402.0,2087.0,2330.0,2113.0,2839.0,4099.0,5001.0,5186.0,5340.0,4829.0,4572.0,4229.0,5593.0,7445.0,10043.0,12955.0,13931.0,15205.0,15620.0,14418.0,10775.0,7371.0,6869.0,8415.0,10664.0,12555.0,14785.0,16988.0
         General Assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Maternal/Child Health,7.0,11.0,11.0,12.0,14.0,15.0,18.0,20.0,24.0,27.0,26.0,29.0,31.0,32.0,33.0,29.0,39.0,49.0,48.0,53.0,59.0,61.0,63.0,73.0,71.0,82.0,87.0,94.0,97.0,101.0,105.0,121.0,133.0,142.0,151.0,156.0,163.0,174.0,177.0,184.0,194.0,200.0,208.0,213.0,211.0,210.0,202.0,234.0,252.0,239.0,238.0,222.0,208.0,219.0,225.0,226.0
                          Federal  ,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
                          State and Local,7.0,10.0,10.0,11.0,12.0,14.0,16.0,18.0,21.0,24.0,23.0,26.0,27.0,27.0,29.0,25.0,34.0,44.0,42.0,47.0,54.0,55.0,58.0,69.0,69.0,79.0,84.0,91.0,94.0,98.0,102.0,117.0,130.0,139.0,147.0,153.0,159.0,170.0,174.0,181.0,190.0,196.0,204.0,209.0,207.0,206.0,199.0,230.0,249.0,236.0,234.0,218.0,205.0,216.0,222.0,222.0
         Vocational Rehabilitation,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,15.0,18.0,18.0,18.0,18.0,20.0,22.0,24.0,24.0,25.0,25.0,26.0,28.0,30.0,31.0,32.0,33.0,34.0,37.0,38.0,36.0,35.0,37.0,41.0,43.0,44.0,47.0,49.0,51.0,51.0,52.0,50.0,53.0,54.0,53.0,58.0,62.0,62.0,60.0,59.0,59.0,60.0
                          Federal  ,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,7.0,8.0,8.0,10.0,12.0,14.0,14.0,14.0,14.0,15.0,17.0,18.0,18.0,18.0,19.0,20.0,21.0,23.0,24.0,24.0,26.0,27.0,28.0,29.0,27.0,26.0,27.0,31.0,32.0,33.0,36.0,37.0,39.0,39.0,40.0,38.0,40.0,41.0,40.0,44.0,48.0,48.0,46.0,46.0,46.0,46.0
                          State and Local,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,11.0,13.0,13.0,12.0,13.0,14.0,13.0,13.0,13.0,14.0,14.0
         Other Federal Programs*,10.0,14.0,20.0,22.0,40.0,70.0,47.0,25.0,26.0,24.0,4.0,6.0,6.0,4.0,3.0,0.0,30.0,30.0,35.0,37.0,34.0,43.0,60.0,48.0,49.0,50.0,49.0,43.0,39.0,40.0,45.0,43.0,49.0,59.0,59.0,65.0,84.0,69.0,67.0,73.0,79.0,86.0,97.0,107.0,106.0,107.0,115.0,114.0,98.0,125.0,373.0,725.0,1348.0,2636.0,2458.0,1845.0
         SAMHSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,7.0,9.0,8.0,10.0,9.0,8.0,7.0,4.0,4.0,4.0,5.0,15.0,12.0,22.0,25.0,27.0,43.0,56.0,51.0,35.0,31.0,39.0,46.0,50.0,68.0,65.0,57.0,60.0,58.0,59.0,62.0,62.0,65.0,64.0,70.0,85.0,85.0,80.0,82.0
         Other State and Local Programs**,10.0,13.0,18.0,17.0,56.0,120.0,63.0,21.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         School Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total CMS Programs (Medicaid, CHIP and Medicare)",0.0,0.0,0.0,0.0,0.0,0.0,172.0,315.0,443.0,501.0,648.0,691.0,815.0,959.0,1163.0,1333.0,1638.0,1698.0,2061.0,2220.0,2462.0,2825.0,2883.0,3223.0,3660.0,4210.0,4425.0,4749.0,5468.0,6161.0,6884.0,7633.0,8397.0,9650.0,11798.0,13148.0,12837.0,15670.0,17607.0,19545.0,22380.0,24910.0,27708.0,29113.0,31978.0,36298.0,45839.0,50032.0,52842.0,58348.0,64025.0,67559.0,70617.0,76376.0,90665.0,102487.0
State and Local  Administration Expenditures,30.0,38.0,43.0,44.0,85.0,150.0,123.0,118.0,138.0,157.0,166.0,169.0,210.0,237.0,273.0,321.0,362.0,481.0,480.0,532.0,652.0,696.0,719.0,906.0,1063.0,1105.0,1289.0,1546.0,1737.0,1941.0,2249.0,2564.0,2943.0,3132.0,4223.0,4637.0,3632.0,4183.0,4513.0,4692.0,5623.0,7383.0,8714.0,10114.0,10497.0,10538.0,10576.0,9822.0,9371.0,8999.0,8445.0,8902.0,9031.0,10294.0,11610.0,11871.0
     Out of pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Insurance,0.0,0.0,0.0,0.0,0.0,0.0,25.0,58.0,73.0,86.0,113.0,114.0,150.0,170.0,195.0,240.0,260.0,357.0,352.0,390.0,495.0,529.0,546.0,695.0,809.0,807.0,911.0,1082.0,1183.0,1290.0,1550.0,1708.0,1985.0,2336.0,3468.0,3911.0,2827.0,3446.0,3917.0,4280.0,4722.0,5412.0,5811.0,6331.0,6485.0,6917.0,7824.0,7739.0,8139.0,8384.0,8290.0,8634.0,8532.0,8957.0,9534.0,9519.0
          Private Health Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Medicaid (Title XIX),0.0,0.0,0.0,0.0,0.0,0.0,25.0,58.0,73.0,86.0,113.0,114.0,150.0,170.0,195.0,240.0,260.0,357.0,352.0,390.0,495.0,529.0,546.0,695.0,809.0,807.0,911.0,1082.0,1183.0,1290.0,1550.0,1708.0,1985.0,2336.0,3468.0,3911.0,2827.0,3446.0,3908.0,4239.0,4632.0,5299.0,5667.0,6175.0,6327.0,6740.0,7649.0,7531.0,7915.0,8159.0,8049.0,8360.0,8237.0,8616.0,9162.0,9178.0
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,25.0,58.0,73.0,86.0,113.0,114.0,150.0,170.0,195.0,240.0,260.0,357.0,352.0,390.0,495.0,529.0,546.0,695.0,809.0,807.0,911.0,1082.0,1183.0,1290.0,1550.0,1708.0,1985.0,2336.0,3468.0,3911.0,2827.0,3446.0,3908.0,4239.0,4632.0,5299.0,5667.0,6175.0,6327.0,6740.0,7649.0,7531.0,7915.0,8159.0,8049.0,8360.0,8237.0,8616.0,9162.0,9178.0
          CHIP (Title XIX and Title XXI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,41.0,90.0,113.0,143.0,156.0,158.0,177.0,175.0,207.0,224.0,225.0,240.0,274.0,295.0,341.0,372.0,341.0
